iter	Passed	Remaining
0	25	25039
1	58	29279
2	89	29833
3	121	30203
4	150	29998
5	178	29552
6	208	29539
7	237	29492
8	260	28738
9	292	28984
10	323	29088
11	352	29017
12	383	29140
13	413	29129
14	442	29061
15	476	29285
16	514	29769
17	554	30253
18	589	30411
19	623	30531
20	658	30686
21	697	30985
22	771	32752
23	807	32821
24	843	32915
25	880	32997
26	927	33422
27	965	33514
28	1003	33603
29	1038	33594
30	1072	33522
31	1110	33604
32	1148	33660
33	1188	33768
34	1228	33877
35	1261	33786
36	1294	33701
37	1327	33599
38	1365	33644
39	1398	33553
40	1430	33468
41	1462	33350
42	1494	33256
43	1526	33168
44	1558	33071
45	1589	32967
46	1607	32593
47	1639	32516
48	1671	32444
49	1704	32376
50	1720	32019
51	1752	31941
52	1783	31871
53	1816	31813
54	1848	31752
55	1879	31678
56	1888	31246
57	1921	31207
58	1954	31174
59	1986	31124
60	2019	31083
61	2051	31042
62	2083	30986
63	2117	30961
64	2148	30908
65	2180	30853
66	2212	30811
67	2244	30766
68	2276	30717
69	2308	30667
70	2340	30623
71	2371	30570
72	2403	30524
73	2435	30480
74	2467	30429
75	2498	30374
76	2530	30333
77	2562	30293
78	2594	30246
79	2626	30205
